章节,标题,起始行,结束行,行数
1,饱受欺凌,4,190,187
2,残剑认主,191,413,223
3,欺人太甚,414,630,217
4,紫霄圣女,631,874,244
5,惨遭遗弃,875,1142,268
6,践踏底线,1143,1365,223
7,林中激战,1366,1636,271
8,修为突破,1637,1916,280
9,外门来人,1917,2172,256
10,鉴气楼,2173,2392,220
11,晋升外门,2393,2585,193
12,灵宝阁,2586,2826,241
13,我们不欢迎废物,2827,3019,193
14,新的住所,3020,3254,235
15,云老炼丹,3255,3468,214
16,罐中灵石,3469,3661,193
17,仇敌上门,3662,3884,223
18,李叔出手,3885,4074,190
19,落荒而逃,4075,4297,223
20,一片龟甲,4298,4487,190
21,山中顿悟,4488,4746,259
22,山顶巨石,4747,4909,163
23,灵力消失,4910,5114,205
24,化解蛇毒,5115,5265,151
25,流云剑法,5266,5458,193
26,神秘蝌蚪,5459,5630,172
27,大石坠落,5631,5889,259
28,展示剑法,5890,6052,163
29,有惊无险,6053,6239,187
30,新手任务,6240,6387,148
31,灵炎谷,6388,6559,172
32,追香虫,6560,6740,181
33,炼气第二层,6741,6936,196
34,化尸水,6937,7135,199
35,毁尸灭迹,7136,7331,196
36,金牌货郎,7332,7491,160
37,嗜血邪鸦,7492,7711,220
38,大开杀戒,7712,7949,238
39,金丹修士,7950,8169,220
40,二等功,8170,8323,154
41,斗战圣体,8324,8579,256
42,购买书籍,8580,8748,169
43,试炼之路,8749,8923,175
44,御剑诀,8924,9065,142
45,独力顿悟,9066,9312,247
46,天湖结界,9313,9523,211
47,琉璃钟,9524,9659,136
48,黄泉峰主,9660,9825,166
49,炼气第四层,9826,10012,187
50,狂暴丹,10013,10190,178
51,击杀张铁鳞,10191,10398,208
52,诡异山谷,10399,10534,136
53,琉璃古城,10535,10685,151
54,蘑菇有毒,10686,10899,214
55,五品丹药,10900,11125,226
56,叶青瓷的哥哥,11126,11291,166
57,荒古世家,11292,11448,157
58,七彩琉璃殿,11449,11668,220
59,幽冥花,11669,11837,169
60,玄黄变,11838,12051,214
61,成功脱困,12052,12268,217
62,服用幽冥花,12269,12443,175
63,试炼结束,12444,12603,160
64,破冰而出,12604,12820,217
65,琉璃菌皇,12821,13025,205
66,勇夺第一,13026,13224,199
67,达者为先,13225,13390,166
68,进入内门,13391,13577,187
69,青云道人,13578,13773,196
70,炼气第七层,13774,13957,184
71,七大峰主齐聚,13958,14108,151
72,太优秀了也不好,14109,14241,133
73,命轮有缺,14242,14443,202
74,天道筑基与不死药,14444,14708,265
75,三个条件,14709,14868,160
76,琉璃金身诀,14869,15034,166
77,浮仙诀,15035,15194,160
78,小鹤归来,15195,15405,211
79,灵鹤空间,15406,15616,211
80,灵力淬体,15617,15818,202
81,炼气第九层,15819,15984,166
82,琉璃真身第一层,15985,16159,175
83,疯魔洞守护者,16160,16349,190
84,绝境爆发,16350,16506,157
85,疯魔洞第二层,16507,16702,196
86,金色汁液,16703,16874,172
87,千年柳木心,16875,17061,187
88,万魂鬼印,17062,17248,187
89,九叶剑心草,17249,17426,178
90,琉璃剑,17427,17634,208
91,琉璃结界,17635,17767,133
92,琉璃圣子方尘,17768,17954,187
93,灌顶传功,17955,18132,178
94,我师尊死了,18133,18304,172
95,守孝,18305,18449,145
96,神蚕宝衣,18450,18609,160
97,炼气第十层,18610,18802,193
98,猿王出现,18803,18977,175
99,魔焰吞天蟒,18978,19203,226
100,团灭缥缈宗弟子,19204,19534,331
101,小师叔,19535,19718,184
102,一只八哥,19719,19890,172
103,小纸鹤出手,19891,20074,184
104,你全家都是秃毛鸟,20075,20219,145
105,八哥带路,20220,20373,154
106,八卦门的石人阵,20374,20584,211
107,炼气第十一层,20585,20750,166
108,以力破阵,20751,20928,178
109,我这金钟阵你破不了,20929,21073,145
110,举轻若重,21074,21230,157
111,螳螂战阵,21231,21372,142
112,炼气第十二层,21373,21577,205
113,骑马僵尸,21578,21737,160
114,这功法不对劲,21738,21945,208
115,僵尸体内的珠子,21946,22192,247
116,终于死了,22193,22361,169
117,坐上王座吸灵力,22362,22527,166
118,炼气第十三层,22528,22714,187
119,抵达流丹河,22715,22922,208
120,石磊，王默，玉流烟,22923,23118,196
121,收割生命的死神,23119,23332,214
122,琉璃剑阵,23333,23516,184
123,稳占上风,23517,23682,166
124,这个家伙是恶魔,23683,23851,169
125,有种你们就别跑,23852,24023,172
126,流丹河里的丹药,24024,24195,172
127,前往上游吃丹药,24196,24388,193
128,丹药盛宴,24389,24587,199
129,远古天庭,24588,24780,193
130,炼气境界的极限,24781,24925,145
131,天帝是斗战圣体?,24926,25088,163
132,极道帝兵乾坤鼎,25089,25245,157
133,天道筑基丹,25246,25408,163
134,炼气第十五层,25409,25586,178
135,他们来自未来,25587,25788,202
136,天空中的巨眼,25789,26005,217
137,炼气第十七层,26006,26156,151
138,砍一剑就顿悟了,26157,26319,163
139,凝聚筑基道台,26320,26515,196
140,天罚降临,26516,26714,199
141,道友，借道台一用,26715,26895,181
142,不死药,26896,27043,148
143,服用不死药,27044,27221,178
144,秘境关闭,27222,27402,181
145,方尘苏醒,27403,27571,169
146,寿元增加,27572,27734,163
147,谁说我已经死了?,27735,27894,160
148,小师叔威武,27895,28102,208
149,拒绝邀请,28103,28250,148
150,天元学宫,28251,28410,160
151,禁地之门,28411,28594,184
152,九色烟莲,28595,28802,208
153,莲池修炼,28803,28947,145
154,疯狂提升,28948,29149,202
155,筑基第七层,29150,29315,166
156,宝物加身,29316,29490,175
157,骑天大圣,29491,29695,205
158,接引使者,29696,29888,193
159,杀戮开始,29889,30108,220
160,灵宝空间,30109,30298,190
161,一箭惊鸿,30299,30506,208
162,天箭与轮回眼,30507,30690,184
163,筑基第八层,30691,30877,187
164,夸父追日,30878,31040,163
165,通灵箭雨,31041,31248,208
166,榜首，太初圣地秦天,31249,31429,181
167,方尘战秦天,31430,31649,220
168,流星剑,31650,31893,244
169,开天辟地,31894,32095,202
170,第一名,32096,32270,175
171,丹师榜第三十二,32271,32442,172
172,进入天元学宫,32443,32623,181
173,灵心宫主,32624,32822,199
174,池底黑岩,32823,33015,193
175,帝术，上苍之手,33016,33199,184
176,筑基大圆满,33200,33368,169
177,五级权限,33369,33576,208
178,三种秘法,33577,33712,136
179,修炼帝术,33713,33863,151
180,帝术之威,33864,34056,193
181,幽州叶家,34057,34237,181
182,一箭全灭,34238,34490,253
183,大地魔熊,34491,34647,157
184,他叫骑天大圣,34648,34831,184
185,炼心桥,34832,34976,145
186,荒漠绿洲,34977,35154,178
187,特殊灵果,35155,35317,163
188,不解风情,35318,35528,211
189,天罚炼心,35529,35685,157
190,溯源丹,35686,35845,160
191,炼心桥第八层,35846,36077,232
192,反噬,36078,36252,175
193,金色印记,36253,36418,166
194,再见灵心,36419,36566,148
195,遗忘面具,36567,36702,136
196,恶魔之海,36703,36883,181
197,万马奔腾,36884,37055,172
198,绝世天才,37056,37254,199
199,钻研阵法,37255,37438,184
200,六阶阵法,37439,37631,193
201,阵法成功,37632,37830,199
202,第三枚印记,37831,38002,172
203,白灵长老,38003,38126,124
204,滴血洞,38127,38277,151
205,龟前辈,38278,38461,184
206,内丹,38462,38663,202
207,逆鳞天衣,38664,38826,163
208,两颗珠子,38827,38998,172
209,李清瑶,38999,39185,187
210,红石城,39186,39402,217
211,岳沧澜,39403,39568,166
212,不老花,39569,39737,169
213,苦海种青莲,39738,39927,190
214,上苍之手的威力,39928,40120,193
215,瑶池圣女,40121,40319,199
216,灵气潮汐,40320,40512,193
217,鱼跃龙门,40513,40738,226
218,肥鲤鱼,40739,40979,241
219,第八重天,40980,41148,169
220,须弥草,41149,41359,211
221,拼一把,41360,41552,193
222,山巅,41553,41769,217
223,回归,41770,41974,205
224,一百年,41975,42134,160
225,丹魔,42135,42330,196
226,凝丹秘法,42331,42487,157
227,金丹境界,42488,42689,202
228,七味真火,42690,42882,193
229,异象出,42883,43117,235
230,找人试丹,43118,43319,202
231,关键药引,43320,43530,211
232,天龙之怒,43531,43726,196
233,经验,43727,43889,163
234,开张,43890,44130,241
235,回头客,44131,44353,223
236,回宗,44354,44552,199
237,栽赃陷害,44553,44733,181
238,相见,44734,44914,181
239,方圣,44915,45110,196
240,金丹九转,45111,45294,184
241,震惊,45295,45475,181
242,神秘源界,45476,45725,250
243,青铜棺,45726,45969,244
244,碎空珠,45970,46204,235
245,九狱魔窟,46205,46424,220
246,画圈,46425,46578,154
247,进入魔窟,46579,46789,211
248,吞噬魔气,46790,46964,175
249,皇级血脉,46965,47142,178
250,天魔大阵,47143,47338,196
251,魔尊天下,47339,47579,241
252,十万魔刀,47580,47784,205
253,洞察天地,47785,47953,169
254,剑与道合,47954,48146,193
255,再次蜕变,48147,48291,145
256,破灭虚空,48292,48463,172
257,三大巨头,48464,48632,169
258,三大异象,48633,48795,163
259,城南禁地,48796,48946,151
260,黑色藤蔓,48947,49157,211
261,本体,49158,49323,166
262,完美金丹,49324,49489,166
263,混沌魔星藤,49490,49694,205
264,头骨,49695,49863,169
265,臣服,49864,50044,181
266,镇窟之宝,50045,50237,193
267,凝婴秘法,50238,50412,175
268,欲望魔蛛,50413,50563,151
269,欲望之海,50564,50711,148
270,直接捏爆,50712,50871,160
271,大墓,50872,51028,157
272,元神归来,51029,51212,184
273,弑母,51213,51426,214
274,灵骨,51427,51574,148
275,雷纹，圣骨,51575,51743,169
276,完全融合,51744,51933,190
277,结婴成功,51934,52108,175
278,混沌元婴,52109,52268,160
279,再遇魔山,52269,52452,184
280,封神领域,52453,52660,208
281,紫莲真君,52661,52823,163
282,离开魔窟,52824,52992,169
283,元婴太大,52993,53146,154
284,宗门困境,53147,53270,124
285,飞剑,53271,53412,142
286,百炼天地,53413,53542,130
287,黑色灵力,53543,53714,172
288,吞噬陨铁,53715,53901,187
289,白鹤师侄,53902,54085,184
290,紫焰灵丹,54086,54290,205
291,三种灵火,54291,54429,139
292,突破,54430,54613,184
293,巨人,54614,54776,163
294,它们很乖,54777,54960,184
295,寒云灵水,54961,55138,178
296,你还会啥?,55139,55307,169
297,凡尘剑,55308,55497,190
298,暴利,55498,55648,151
299,炼天炉,55649,55835,187
300,开炉,55836,56010,175
301,区区凡丹,56011,56191,181
302,都要吃,56192,56399,208
303,等人,56400,56583,184
304,当诱饵,56584,56812,229
305,他是恶魔,56813,57023,211
306,横扫,57024,57174,151
307,剿魔归来,57175,57328,154
308,偶遇,57329,57467,139
309,符胚,57468,57612,145
310,力量符,57613,57799,187
311,重炼,57800,57974,175
312,新财路,57975,58161,187
313,无敌分身,58162,58327,166
314,天一符圣,58328,58487,160
315,符圣降临,58488,58677,190
316,三成实力,58678,58840,163
317,令牌,58841,58994,154
318,圣符,58995,59157,163
319,人选,59158,59305,148
320,玉参王,59306,59450,145
321,白玉魔君,59451,59634,184
322,屠天地，斩众生,59635,59818,184
323,乱剑城,59819,59984,166
324,一剑灭一城,59985,60171,187
325,三大魔皇,60172,60322,151
326,提醒,60323,60473,151
327,三千万妖魔,60474,60627,154
328,策略,60628,60805,178
329,一对冤家,60806,60983,178
330,一起炼,60984,61146,163
331,药粉,61147,61348,202
332,都中毒了,61349,61553,205
333,起个名吧,61554,61713,160
334,道号浮仙,61714,61879,166
335,准备动手,61880,62039,160
336,毒发,62040,62217,178
337,战炎魔皇,62218,62392,175
338,无法突破,62393,62561,169
339,连续蜕变,62562,62748,187
340,三丈元婴,62749,62947,199
341,自行了断,62948,63113,166
342,元神秘法,63114,63300,187
343,碎体重生,63301,63460,160
344,本命飞剑,63461,63635,175
345,全力出手,63636,63876,241
346,自爆,63877,64063,187
347,元神境界,64064,64250,187
348,快要生了,64251,64428,178
349,一胎九个,64429,64636,208
350,潜力无限,64637,64826,190
351,伤势恶化,64827,65004,178
352,资料,65005,65173,169
353,空间风暴,65174,65384,211
354,临渊城,65385,65550,166
355,花臂和尚,65551,65698,148
356,杀秃驴,65699,65861,163
357,大胆狂徒,65862,66042,181
358,碾压,66043,66211,169
359,临渊城主,66212,66368,157
360,三星耀世,66369,66549,181
361,反击,66550,66721,172
362,城主落败,66722,66908,187
363,楼兰国主,66909,67086,178
364,临渊剑魔,67087,67255,169
365,进入深渊,67256,67403,148
366,挖眼睛,67404,67587,184
367,念经杀敌?,67588,67768,181
368,李清霞,67769,67949,181
369,地狱魔鬼蜂,67950,68115,166
370,天赋神通,68116,68257,142
371,接连突破,68258,68402,145
372,地狱噬神蜂,68403,68553,151
373,蜇一下,68554,68707,154
374,地狱狼蛛王,68708,68873,166
375,金元子,68874,69057,184
376,日出东方,69058,69253,196
377,如来神掌,69254,69443,190
378,金元子败走,69444,69582,139
379,准备炼丹,69583,69724,142
380,逆魂丹和养魂丹,69725,69878,154
381,双管齐下,69879,70044,166
382,异象翻炉,70045,70243,199
383,堪比圣药,70244,70397,154
384,小飞苏醒,70398,70590,193
385,玉璧,70591,70768,178
386,火璃圣人,70769,70928,160
387,关键技术,70929,71094,166
388,长蘑菇了,71095,71272,178
389,齐聚,71273,71420,148
390,抽签,71421,71601,181
391,特殊道纹,71602,71782,181
392,圣力?,71783,71939,157
393,仙灵之力,71940,72051,112
394,噬神印记,72052,72226,175
395,融合,72227,72371,145
396,无圣,72372,72516,145
397,别来无恙,72517,72682,166
398,数量翻倍,72683,72839,157
399,凌云圣人,72840,73017,178
400,求助,73018,73174,157
401,不给面子,73175,73325,151
402,对战圣人,73326,73491,166
403,准圣,73492,73654,163
404,元神再变,73655,73811,157
405,凌云剑域,73812,73965,154
406,吞噬圣力,73966,74134,169
407,夺剑,74135,74303,169
408,灭神剑,74304,74445,142
409,败逃,74446,74647,202
410,先说重点,74648,74771,124
411,定天符,74772,74931,160
412,走还是留?,74932,75064,133
413,阴阳石,75065,75197,133
414,拜访缥缈道主,75198,75345,148
415,明月圣人,75346,75478,133
416,圣土,75479,75593,115
417,出海,75594,75750,157
418,雷龙岛,75751,75901,151
419,精神世界,75902,76055,154
420,雷霆界狱,76056,76230,175
421,吞天螺壳,76231,76426,196
422,红莲地心火,76427,76568,142
423,吞噬圣火,76569,76707,139
424,三年之后,76708,76876,169
425,得加钱,76877,77039,163
426,圣人劫,77040,77229,190
427,渡劫,77230,77368,139
428,神灵雷,77369,77546,178
429,金色真龙,77547,77709,163
430,磐涅,77710,77905,196
431,圣人，方尘,77906,78059,154
432,不打算还,78060,78219,160
433,圣火渡劫,78220,78424,205
434,狗男女,78425,78602,178
435,双人劫,78603,78771,169
436,三位圣人,78772,78934,163
437,动手,78935,79109,175
438,以一敌三,79110,79290,181
439,破阵,79291,79456,166
440,方尘回归,79457,79625,169
441,燃烧圣印,79626,79779,154
442,琉璃钟发威,79780,79942,163
443,灭了吧!,79943,80090,148
444,连狗都不剩,80091,80289,199
445,孤独,80290,80449,160
446,浮仙圣人,80450,80624,175
447,邀请,80625,80787,163
448,宝山,80788,80953,166
449,抵达天符城,80954,81122,169
450,换道号?,81123,81303,181
451,神木谷,81304,81448,145
452,圣兽,81449,81587,139
453,崆峒神木,81588,81750,163
454,符成,81751,81940,190
455,分配,81941,82118,178
456,赠木,82119,82269,151
457,激活圣器,82270,82441,172
458,打开源界,82442,82628,187
459,琉璃城主,82629,82785,157
460,谁来当宗主?,82786,82942,157
461,相互推诿,82943,83090,148
462,琉璃金身第八变,83091,83214,124
463,葬剑谷,83215,83389,175
464,圣碑,83390,83537,148
465,琉璃天地,83538,83718,181
466,步入正轨,83719,83899,181
467,碎空珠的威力,83900,84071,172
468,红色圣龙,84072,84249,178
469,琉璃圣人的朋友,84250,84427,178
470,圣人战场,84428,84623,196
471,加入战斗,84624,84768,145
472,哪来的傻缺?,84769,84922,154
473,捆绑,84923,85103,181
474,对圣人拉屎,85104,85290,187
475,剥皮求生,85291,85456,166
476,拔箭,85457,85622,166
477,超级堡垒,85623,85803,181
478,援军抵达,85804,85969,166
479,魔族准帝,85970,86114,145
480,受伤的圣龙,86115,86235,121
481,排队治疗,86236,86410,175
482,南海特产,86411,86558,148
483,龙龟的请求,86559,86676,118
484,回炉,86677,86839,163
485,离开龙宫,86840,87002,163
486,禁锢空间,87003,87174,172
487,一盒土特产,87175,87316,142
488,赠珠,87317,87476,160
489,缥缈道主突破,87477,87642,166
490,天驰魔圣,87643,87784,142
491,攻击太弱,87785,87923,139
492,火璃圣人的后人,87924,88089,166
493,十位天才,88090,88264,175
494,不能空手去,88265,88427,163
495,神奇空间,88428,88611,184
496,小鹤说话,88612,88786,175
497,圣人无法传送,88787,88940,154
498,瑶池圣地,88941,89082,142
499,出手阔绰,89083,89233,151
500,湖尊,89234,89378,145
501,上苍之手第三层,89379,89550,172
502,攻击力飙升,89551,89713,163
503,天印圣人，阵法大师,89714,89927,214
504,吞噬魔气?,89928,90075,148
505,举手之劳而已,90076,90199,124
506,进入禁地,90200,90332,133
507,第九道结界,90333,90489,157
508,一根羽毛,90490,90628,139
509,拔出来,90629,90815,187
510,补天术,90816,90975,160
511,喝一杯如何?,90976,91111,136
512,第二劫,91112,91286,175
513,超级天劫,91287,91443,157
514,五雷分尸?,91444,91639,196
515,太极道图,91640,91811,172
516,云宗主出事了,91812,91965,154
517,中埋伏了,91966,92164,199
518,阵法激活,92165,92369,205
519,黑暗森林,92370,92568,199
520,吞噬魔藤,92569,92746,178
521,圣人自爆,92747,92924,178
522,毛又秃了,92925,93123,199
523,彻底恢复,93124,93316,193
524,天魔羽,93317,93494,178
525,秃驴欺人太甚,93495,93663,169
526,佛国的野心,93664,93808,145
527,两位圣佛,93809,93953,145
528,魂灯熄灭,93954,94131,178
529,放下屠刀?,94132,94318,187
530,探索遗迹,94319,94445,127
531,化形的玄玉参,94446,94632,187
532,玄玉参娃娃的爷爷,94633,94798,166
533,老爷爷苏醒,94799,94967,169
534,混沌噬心虫,94968,95130,163
535,论持久力?,95131,95296,166
536,到底谁吞噬谁?,95297,95441,145
537,我臣服,95442,95598,157
538,玄玉参的天赋,95599,95764,166
539,老参王死亡,95765,95906,142
540,一株圣莲,95907,96036,130
541,收集圣莲子,96037,96187,151
542,新的底牌,96188,96332,145
543,狄龙快生了,96333,96486,154
544,打碎玉璧,96487,96703,217
545,火璃圣人复活,96704,96860,157
546,谁都不想当宗主,96861,97017,157
547,火璃前辈，你是不是害怕了?,97018,97171,154
548,集体朝天竖中指,97172,97343,172
549,陈小飞要渡劫,97344,97485,142
550,渡劫之地,97486,97633,148
551,全部脱光吧,97634,97805,172
552,万事俱备,97806,97962,157
553,天劫降临,97963,98143,181
554,凤翔九天,98144,98306,163
555,天劫变强了,98307,98496,190
556,灭鸦圣人,98497,98665,169
557,爱上小师叔,98666,98849,184
558,青莲圣佛,98850,99036,187
559,装过头了,99037,99208,172
560,青莲映月,99209,99383,175
561,引狗入洞,99384,99555,172
562,天魔羽的威力,99556,99703,148
563,王八化形了,99704,99863,160
564,有种你自爆呀!,99864,100050,187
565,被炸上瘾了,100051,100231,181
566,浮仙绝影身法,100232,100397,166
567,再见魔星藤,100398,100590,193
568,魔星藤的名字,100591,100744,154
569,废弃的灵玉矿,100745,100883,139
570,重力罗盘,100884,101046,163
571,留给你们当口粮,101047,101212,166
572,加强吞噬能力,101213,101402,190
573,修复琉璃剑,101403,101586,184
574,寻找执剑人,101587,101761,175
575,圣钟九响,101762,101924,163
576,今非昔比,101925,102063,139
577,没灵根也可以修炼,102064,102214,151
578,重回狗头岭,102215,102398,184
579,我叫老登，还记得我吗?,102399,102534,136
580,王大厨,102535,102718,184
581,悠闲生活,102719,102875,157
582,执剑人云溯,102876,103083,208
583,接受传承,103084,103282,199
584,又一位准圣,103283,103463,181
585,火璃圣人的请求,103464,103644,181
586,升级成功,103645,103798,154
587,鱼和熊掌不可兼得,103799,103931,133
588,魔窟震动,103932,104094,163
589,天魔羽和魔窟有关系?,104095,104266,172
590,玩得太大了?,104267,104450,184
591,炼器还是炼符?,104451,104655,205
592,通灵剑符,104656,104812,157
593,流星泪,104813,104927,115
594,准圣分身,104928,105108,181
595,好多大哥哥,105109,105286,178
596,材料齐全了,105287,105446,160
597,浮仙剑的来历,105447,105591,145
598,剑鞘?,105592,105742,151
599,开始炼制流星泪,105743,105902,160
600,试验一下,105903,106074,172
601,流星泪的威力,106075,106252,178
602,以人为主,106253,106367,115
603,传授绝招,106368,106512,145
604,九重浪,106513,106633,121
605,九重浪(二),106634,106778,145
606,九重浪(三),106779,106914,136
607,传授绝技,106915,107032,118
608,灵液精华,107033,107186,154
609,灵液到手,107187,107316,130
610,小鹤送药,107317,107467,151
611,七重浪,107468,107639,172
612,魔星藤渡劫,107640,107826,187
613,没化形,107827,107986,160
614,降龙伏虎,107987,108119,133
615,冤家碰头,108120,108282,163
616,手下败将,108283,108406,124
617,无心圣佛,108407,108512,106
618,以一敌二,108513,108618,106
619,方尘，秃驴又杀来了!,108619,108763,145
620,修为低是硬伤,108764,108866,103
621,一剑通天,108867,108996,130
622,降龙伏魔棍,108997,109129,133
623,莲花印记,109130,109292,163
624,他还有帮手,109293,109437,145
625,这是什么绝招?,109438,109606,169
626,龙虎怪,109607,109787,181
