章节号,原编号,章节标题,起始行号,结束行号,行数
1,1,"陨落的天才",4,166,163
2,2,"斗气大陆",167,350,184
3,3,"客人",351,480,130
4,4,"云岚宗",481,583,103
5,5,"聚气散",584,695,112
6,6,"炼药师",696,837,142
7,7,"休!",838,991,154
8,8,"神秘的老者",992,1130,139
9,9,"药老!",1131,1326,196
10,0,"借钱",1327,1474,148
11,1,"坊市",1475,1607,133
12,2,"离他远点",1608,1713,106
13,3,"黑铁片",1714,1834,121
14,4,"吸掌",1835,1994,160
15,5,"修炼",1995,2139,145
16,6,"萧宁",2140,2284,145
17,7,"冲突",2285,2390,106
18,8,"玄阶高级斗技:八极崩",2391,2484,94
19,9,"残酷训练",2485,2581,97
20,20,"拍卖",2582,2657,76
21,21,"二品炼药师谷尼",2658,2802,145
22,22,"风卷决",2803,2959,157
23,23,"争抢",2960,3104,145
24,24,"一切待续",3105,3204,100
25,25,"钱由我出",3205,3340,136
26,26,"苦修",3341,3434,94
27,27,"冲击第七段",3435,3534,100
28,28,"强化吸掌",3535,3670,136
29,29,"重要的日子",3671,3776,106
30,30,"辱人者，人恒辱之",3777,3900,124
31,31,"一星斗者",3901,4021,121
32,32,"挑战",4022,4145,124
33,33,"证实",4146,4263,118
34,34,"翻身",4264,4369,106
35,35,"罪恶感",4370,4457,88
36,36,"滑稽的突破",4458,4563,106
37,37,"萧玉",4564,4675,112
38,38,"这小家伙，不简单呐",4676,4772,97
39,39,"仪式复测",4773,4881,109
40,40,"震撼",4882,4963,82
41,41,"增气散",4964,5066,103
42,42,"你输了",5067,5163,97
43,43,"强横的萧炎",5164,5269,106
44,44,"陪你试试",5270,5366,97
45,45,"落幕",5367,5466,100
46,46,"暴怒的萧炎",5467,5584,118
47,47,"亵渎",5585,5687,103
48,48,"斗气阁",5688,5793,106
49,49,"选择功法",5794,5929,136
50,50,"帮?",5930,6035,106
51,51,"安心",6036,6126,91
52,52,"突破",6127,6250,124
53,53,"第九段",6251,6347,97
54,54,"筹钱",6348,6468,121
55,55,"不小心",6469,6562,94
56,56,"迦南学院",6563,6653,91
57,57,"广告",6654,6735,82
58,58,"高价",6736,6859,124
59,59,"拍卖结束",6860,6947,88
60,60,"药材到手",6948,7056,109
61,61,"装",7057,7180,124
62,62,"打",7181,7277,97
63,63,"异火榜",7278,7362,85
64,64,"炼制聚气散",7363,7468,106
65,65,"晋级斗者",7469,7580,112
66,66,"焚决",7581,7692,112
67,67,"选择",7693,7786,94
68,68,"陨落心炎",7787,7877,91
69,69,"气愤的薰儿",7878,7974,97
70,70,"探查",7975,8074,100
71,71,"萧家形势",8075,8192,118
72,72,"初学炼药",8193,8316,124
73,73,"第一次炼药",8317,8440,124
74,74,"不请自来",8441,8540,100
75,75,"大手笔",8541,8631,91
76,76,"合作",8632,8728,97
77,77,"断其药路",8729,8840,112
78,78,"炼啊炼的就突破了",8841,8994,154
79,79,"萧家的反击",8995,9121,127
80,80,"炼药师柳席",9122,9233,112
81,81,"察觉",9234,9360,127
82,82,"坦白",9361,9472,112
83,83,"小坊主",9473,9554,82
84,84,"废掉",9555,9681,127
85,85,"接受",9682,9778,97
86,86,"挑战",9779,9857,79
87,87,"下杀手",9858,9966,109
88,88,"落幕",9967,10099,133
89,89,"月黑风高",10100,10238,139
90,90,"料理后事",10239,10401,163
91,91,"夜中相遇",10402,10528,127
92,92,"抢",10529,10646,118
93,93,"半路毁药",10647,10747,101
94,94,"眼光挺差",10748,10863,116
95,95,"眼光挺差",10864,10978,115
96,96,"加列家族的境地",10979,11084,106
97,97,"承喏",11085,11208,124
98,98,"雪妮",11209,11341,133
99,99,"刁难",11342,11525,184
100,100,"威胁",11526,11721,196
101,101,"潜力值的分级",11722,11929,208
102,102,"最恐怖的一个",11930,12074,145
103,103,"请假",12075,12222,148
104,104,"初战大斗师",12223,12535,313
105,105,"离去之前",12536,12776,241
106,106,"离开",12777,12945,169
107,107,"云岚宗",12946,13129,184
108,108,"八极崩的暗劲",13130,13283,154
109,109,"血莲精",13284,13404,121
110,110,"小医仙",13405,13531,127
111,111,"加入队伍",13532,13679,148
112,112,"进入魔兽山脉",13680,13821,142
113,113,"山洞",13822,13996,175
114,114,"探宝",13997,14168,172
115,115,"洞口遇险",14169,14376,208
116,116,"冰灵焰草",14377,14557,181
117,117,"飞行斗技:鹰之翼...",14558,14759,202
118,118,"生死逃亡",14760,15327,568
119,119,"紫云翼",15328,15499,172
120,120,"净莲妖火",15500,15644,145
121,121,"晋级六星",15645,16161,517
122,122,"地阶斗技:焰分噬...",16162,16384,223
123,123,"报复开始",16385,16562,178
124,124,"杀戮",16563,16746,184
125,125,"八星斗者赫蒙",16747,16936,190
126,126,"击杀",16937,17114,178
127,127,"大围剿",17115,17280,166
128,128,"追杀",17281,17467,187
129,129,"独战斗师",17468,17636,169
130,130,"突破七星",17637,17799,163
131,131,"神秘女人与六阶魔...",17800,17959,160
132,132,"斗皇级别的战斗",17960,18146,187
133,133,"旖旎的疗伤",18147,18285,139
134,134,"山洞同居",18286,18448,163
135,135,"春药惹得祸",18449,18593,145
136,136,"春光满洞",18594,18720,127
137,137,"破解封印",18721,18868,148
138,138,"联手行动",18869,19019,151
139,139,"伴生紫晶源",19020,19167,148
140,140,"紫灵晶到手",19168,19327,160
141,141,"生死时速",19328,19475,148
142,142,"吸收紫色能量",19476,19611,136
143,143,"九星斗者",19612,19744,133
144,144,"甘慕",19745,19904,160
145,151,"击杀九星斗者",19905,20046,142
146,152,"再见小医仙",20047,20191,145
147,153,"闯狼头",20192,20339,148
148,154,"踢场",20340,20493,154
149,155,"击杀二星斗师",20494,20704,211
150,156,"小山谷",20705,20870,166
151,157,"紫焰",20871,21015,145
152,158,"炼化火种",21016,21157,142
153,159,"奇怪的言行",21158,21296,139
154,160,"厄难毒体",21297,21447,151
155,161,"可怕的体质",21448,21595,148
156,162,"吞噬紫火之前的准备...",21596,21905,310
157,163,"魔核到手",21906,22041,136
158,164,"炼丹!功法进化!",22042,22327,286
159,165,"晋阶斗师!",22328,22472,145
160,166,"斗师与斗者的差距...",22473,22602,130
161,167,"离别",22603,22741,139
162,168,"炼化异火的三种必...",22742,22883,142
163,169,"奥托大师",22884,23019,136
164,170,"炼药师公会",23020,23194,175
165,171,"一品炼药师的考核...",23195,23348,154
166,172,"通过考核",23349,23505,157
167,173,"最年轻的二品炼药...",23506,23641,136
168,174,"炼药师的极品待遇...",23642,23777,136
169,175,"古特",23778,23937,160
170,176,"交换",23938,24091,154
171,177,"冰灵寒泉到手",24092,24245,154
172,178,"炼药师大会",24246,24399,154
173,179,"飞行途中",24400,24532,133
174,180,"五品丹药所引发的空...",24533,24674,142
175,181,"抵达",24675,24822,148
176,182,"神秘的残破图片?...",24823,24940,118
177,183,"神秘的老人",24941,25085,145
178,184,"交手",25086,25236,151
179,185,"药老出手",25237,25378,142
180,186,"曾经的十大强者，...",25379,25550,172
181,187,"沙漠之行",25551,25683,133
182,188,"沙漠苦修",25684,25792,109
183,189,"巧遇",25793,25943,151
184,190,"初遇蛇人 斗师初显...",25944,26229,286
185,191,"兄弟",26230,26371,142
186,192,"青鳞",26372,26525,154
187,193,"测验",26526,26658,133
188,194,"兄弟间的比试",26659,26815,157
189,195,"青鳞的发现",26816,26963,148
190,196,"探测地形",26964,27093,130
191,197,"解决麻烦",27094,27226,133
192,198,"通道",27227,27368,142
193,199,"探测",27369,27513,145
194,200,"岩浆中的神秘生物",27514,27658,145
195,201,"遇袭",27659,27788,130
196,202,"双头火灵蛇",27789,27918,130
197,203,"药老出手",27919,28051,133
198,204,"碧蛇三花瞳",28052,28202,151
199,196,"地穴之底",28203,28362,160
200,197,"青莲地心火",28363,28531,169
201,198,"略有收获",28532,28679,148
202,199,"晋级!启程!",28680,28830,151
203,200,"沙漠深处",28831,28948,118
204,201,"蛇女月媚",28949,29090,142
205,202,"恐怖的阵容!",29091,29235,145
206,203,"强者间的战斗",29236,29356,121
207,204,"神秘黑袍人",29357,29489,133
208,205,"夜闯部落",29490,29631,142
209,206,"沙漠中心的城市",29632,29749,118
210,207,"美杜莎女王",29750,29888,139
211,208,"丹王古河的大手笔!...",29889,30006,118
212,209,"谈判失败",30007,30148,142
213,210,"争分夺秒",30149,30296,148
214,211,"再见青莲地心火!...",30297,30411,115
215,212,"进化开始",30412,30550,139
216,213,"进化成功?",30551,30686,136
217,214,"七彩吞天蟒",30687,30831,145
218,215,"收服青莲地心火!...",30832,30967,136
219,216,"混乱的局面",30968,31112,145
220,217,"携宝而逃",31113,31227,115
221,218,"千里逃亡",31228,31354,127
222,219,"云芝?",31355,31523,169
223,220,"短促的相见",31524,31647,124
224,221,"五蛇毒刹印",31648,31804,157
225,222,"能耐",31805,31916,112
226,223,"开花结果时",31917,32052,136
227,224,"异火的吞噬，启动...",32053,32194,142
228,225,"抽离火种",32195,32306,112
229,226,"异火锻体",32307,32418,112
230,227,"成功",32419,32533,115
231,228,"修补与强化",32534,32663,130
232,232,"萧炎的第一种本源...",32664,32802,139
233,233,"进化功法!",32803,32932,130
234,234,"煎熬之痛",32933,33005,73
235,235,"焚决进化!",33006,33138,133
236,236,"再见冰皇",33139,33250,112
237,237,"谈话",33251,33338,88
238,238,"天鼎榜",33339,33417,79
239,239,"深藏不露",33418,33544,127
240,240,"破解封印",33545,33698,154
241,241,"残图到手，聘请保...",33699,33840,142
242,242,"石漠城的变故",33841,34060,220
243,243,"击杀大斗师!",34061,34445,385
244,244,"直闯",34446,34659,214
245,245,"震慑",34660,34765,106
246,246,"墨家",34766,34886,121
247,247,"吞并",34887,35025,139
248,248,"盐城",35026,35137,112
249,249,"纳兰!",35138,35333,196
250,250,"休整",35334,35454,121
251,251,"长久打手",35455,35569,115
252,252,"纳兰嫣然",35570,35702,133
253,253,"搜寻以及墨家的野...",35703,35871,169
254,254,"墨盟",35872,36016,145
255,255,"砸场",36017,36164,148
256,256,"狠辣手段",36165,36321,157
257,257,"斩杀墨承",36322,36460,139
